updateDate,code,code_name
2019-12-09,sh.601880,大连港
2019-12-09,sh.601928,凤凰传媒
2019-12-09,sh.601958,金钼股份
2019-12-09,sh.601966,玲珑轮胎
2019-12-09,sh.601969,海南矿业
2019-12-09,sh.603000,人民网
2019-12-09,sh.603025,大豪科技
2019-12-09,sh.603056,德邦股份
2019-12-09,sh.603077,和邦生物
2019-12-09,sh.603198,迎驾贡酒
2019-12-09,sh.603225,新凤鸣
2019-12-09,sh.603228,景旺电子
2019-12-09,sh.603233,大参林
2019-12-09,sh.603328,依顿电子
2019-12-09,sh.603355,莱克电气
2019-12-09,sh.603369,今世缘
2019-12-09,sh.603377,东方时尚
2019-12-09,sh.603444,吉比特
2019-12-09,sh.603486,科沃斯
2019-12-09,sh.603501,韦尔股份
2019-12-09,sh.603515,欧普照明
2019-12-09,sh.603517,绝味食品
2019-12-09,sh.603556,海兴电力
2019-12-09,sh.603568,伟明环保
2019-12-09,sh.603569,长久物流
2019-12-09,sh.603650,彤程新材
2019-12-09,sh.603659,璞泰来
2019-12-09,sh.603712,七一二
2019-12-09,sh.603766,隆鑫通用
2019-12-09,sh.603806,福斯特
2019-12-09,sh.603816,顾家家居
2019-12-09,sh.603866,桃李面包
2019-12-09,sh.603868,飞科电器
2019-12-09,sh.603877,太平鸟
2019-12-09,sh.603883,老百姓
2019-12-09,sh.603885,吉祥航空
2019-12-09,sh.603888,新华网
2019-12-09,sh.603939,益丰药房
2019-12-09,sz.000006,深振业A
2019-12-09,sz.000008,神州高铁
2019-12-09,sz.000009,中国宝安
2019-12-09,sz.000012,南玻A
2019-12-09,sz.000021,深科技
2019-12-09,sz.000025,特力A
2019-12-09,sz.000027,深圳能源
2019-12-09,sz.000028,国药一致
2019-12-09,sz.000031,大悦城
2019-12-09,sz.000039,中集集团
2019-12-09,sz.000060,中金岭南
2019-12-09,sz.000061,农产品
2019-12-09,sz.000062,深圳华强
2019-12-09,sz.000066,中国长城
2019-12-09,sz.000078,海王生物
2019-12-09,sz.000089,深圳机场
2019-12-09,sz.000090,天健集团
2019-12-09,sz.000156,华数传媒
2019-12-09,sz.000158,常山北明
2019-12-09,sz.000301,东方盛虹
2019-12-09,sz.000400,许继电气
2019-12-09,sz.000401,冀东水泥
2019-12-09,sz.000426,兴业矿业
2019-12-09,sz.000488,晨鸣纸业
2019-12-09,sz.000501,鄂武商A
